JM,0.23,0.4,0.07,0.2,0.2,0.26,0.17
JBag,0.1,0.3,0.07,0.13,0.14,0.1,0.06
TH,0.16,0.21,0.21,0.12,0.17,0.15,0.09
TH (likely),0.12,0.24,0.18,0.12,0.18,0.11,0.03
ES,0.13,0.37,0.03,0.14,0.2,0.1,0.13
ELG,0.10,0.30,0.07,0.13,0.14,0.10,0.06
KS,0.17,0.39,0.02,0.17,0.18,0.10,0.12
EG,0.21,0.2,0.16,0.18,0.19,0.08,0.12
KV,0.12,0.25,0.17,0.17,0.2,0.1,0.13
NM,0.18,0.3,0.1,0.17,0.19,0.08,0.12
EM,0.16,0.41,0.03,0.13,0.19,0.08,0.15
MH,0.16,0.31,0.09,0.17,0.17,0.06,0.15
Avg,0.153,0.307,0.100,0.152,0.179,0.110,0.110